,rating,attitude,positve phrase,negative phrase,positive tags,negative tags:
11,8,0,"['Visuals', 'Aesthetics', 'Sound']","['Lack of character development', 'Hollow emotional impact', 'Rushed narrative moments']","['Stunning Visuals', 'Impeccable Production', 'Immersive Sound Design']","['Weak Plot', 'Subpar Acting', 'Weak Plot']"
12,9,1,"['Intelligent', 'Visually stunning', 'Powerful', 'Emotional depth', 'Strong character development']",['None'],"['Engaging Plot', 'Stunning Visuals', 'Strong Performances', 'Strong Performances', 'Thought-Provoking Themes']",['None']
13,8,1,"['Proper epic feel', 'Constantly interesting differences', 'Pleasantly surprised by version']",['Pacing slower than 1984 version'],"['Engaging Plot', 'Engaging Plot', 'Faithful adaptation']",['Muddled Themes']
14,8,1,"['Stunning scenery', 'Delightful music', 'Incredible score', 'Amazing actors', 'Intriguing story']","['Slow pace', 'Uncovered aspects', 'Plot holes']","['Stunning Visuals', 'Immersive Sound Design', 'Immersive Sound Design', 'Strong Performances', 'Engaging Plot']","['Muddled Themes', 'Muddled Themes', 'Weak Plot']"
15,8,1,"['Visuals', 'Acting', 'Director choice', 'Theme', 'Moviegoing experience']","['Limited screen time for characters', 'Part one feels like setup']","['Stunning Visuals', 'Strong Performances', 'Impeccable Production', 'Thought-Provoking Themes', 'Thought-Provoking Themes']","['Weak Plot', 'Weak Plot']"
16,8,1,"['Immersive storytelling', 'Emotional depth', 'Visual effects', 'Loyalty to source material', 'Strong character development']",['Cliffhanger ending'],"['Engaging Plot', 'Strong Performances', 'Stunning Visuals', 'Faithful adaptation', 'Thought-Provoking Themes']",['Muddled Themes']
17,4,0,"['cool visuals', 'aesthetics']","['slow pace', 'requires knowledge of book', 'lack of character development', 'annoying music']","['Stunning Visuals', 'Impeccable Production']","['Muddled Themes', 'Muddled Themes', 'Weak Plot', 'Poor Audio Quality']"
18,7,0,['   None'],"['Too long', 'Pacing issues', 'Lack of emotion and dialogue']",['None'],"['Weak Plot', 'Weak Plot', 'Muddled Themes']"
19,10,1,"['complex layers', 'universal saga', 'cinematographic fresco', 'majestic and glorious', 'pure mastery']",['   None'],"['Engaging Plot', 'Thought-Provoking Themes', 'Stunning Visuals', 'Impeccable Production', 'Faithful adaptation']",['None']
20,9,1,"['Visuals', 'Respect for the book', 'Satisfying ending']",['Slow pacing'],"['Stunning Visuals', 'Faithful adaptation', 'Thought-Provoking Themes']",['Muddled Themes']
21,9,1,"['Stunning visuals', 'Great work by actors', 'Fantastic cinematography', 'Wonderful adaptation', 'Captures essence of story']",['Lacks some parts from books'],"['Stunning Visuals', 'Strong Performances', 'Stunning Visuals', 'Faithful adaptation', 'Thought-Provoking Themes']",['Poor Adaptation']
22,3,0,['None'],"['Lack of character charisma', 'Poorly delivered exposition', 'Annoying dream sequences', 'Depressing color palette', 'Plot points not foreshadowed or discarded']",['None'],"['Weak Plot', 'Muddled Themes', 'Muddled Themes', 'Lackluster Cinematography', 'Weak Plot']"
23,8,1,"['Technically perfect', 'Cinematic experience', 'Visual effects', 'Score', 'Acting']",['Not a conclusive movie'],"['Impeccable Production', 'Stunning Visuals', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Strong Performances']",['Weak Plot']
24,9,1,"['great sci-fi movie', 'crazy cast', 'gripping story', 'amazing music']",['   None'],"['Engaging Plot', 'Strong Performances', 'Engaging Plot', 'Immersive Sound Design']",['None']
25,9,1,"['Immaculate experience', 'Great acting', ""Hans Zimmer's music"", ""Villeneuve's direction"", 'Artistic shots']",['Overlong for some viewers'],"['Engaging Plot', 'Strong Performances', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Stunning Visuals']",['None']
26,9,1,"['Cinematography', 'Captures intricate plot', 'Strong performances', 'Vivid imagery', 'Engaging storytelling']","['Lack of action in the beginning', 'Character Piter de Vries left out']","['Stunning Visuals', 'Engaging Plot', 'Strong Performances', 'Impeccable Production', 'Engaging Plot']","['Weak Plot', 'Poor Adaptation']"
27,8,1,"['Cast', 'CGI scenes', 'Acting']","['Monotonous music', 'Dragging moments']","['Strong Performances', 'Stunning Visuals', 'Strong Performances']","['Poor Audio Quality', 'Muddled Themes']"
28,9,1,"['Impressive visuals', 'Breathtaking score', 'Well-structured plot', 'Incredible cast', 'Brilliant set design and costumes']",['None'],"['Stunning Visuals', 'Immersive Sound Design', 'Engaging Plot', 'Strong Performances', 'Impeccable Production']",['None']
29,9,1,"['Spectacular visuals', 'Powerful soundscape', 'Stellar performances', 'Rebecca Ferguson', 'Enjoyable world building', 'True adaptation of the book']",["Jason Momoa's performance"],"['Stunning Visuals', 'Immersive Sound Design', 'Strong Performances', 'Strong Performances', 'Impeccable Production', 'Faithful adaptation']",['None']
30,8,1,"['Visuals', 'Cinematography', 'Sound mixing and music', 'Costume and decor design', 'Atmospheric style']","['Slow pacing', 'Lack of clear story progression', 'Too many bleak characters']","['Stunning Visuals', 'Immersive Sound Design', 'Immersive Sound Design', 'Impeccable Production', 'Thought-Provoking Themes']","['Muddled Themes', 'Muddled Themes', 'Poor Audio Quality']"
31,10,1,"['Massive dimensions highlighting the Desert Planet', 'Epic music/sound supporting epic scenes', 'Excellent portrayal of the story for book readers', 'Excellent use of slow frames to bring out details', 'Strong cast presence on screen']",['None'],"['Stunning Visuals', 'Immersive Sound Design', 'Faithful adaptation', 'Stunning Visuals', 'Strong Performances']",['None']
32,2,0,['   None'],"['Boring', 'Pointless', 'Lack of character development', 'Lack of story progression', 'Not visually extraordinary']",['None'],"['Weak Plot', 'Weak Plot', 'Weak Plot', 'Weak Plot', 'Lackluster Cinematography']"
33,9,1,"['audiovisual masterpiece', 'visually unique', 'strong performances by actors', 'emotionally engaging', 'cinematic experience']",['narrative pacing fluctuations'],"['Stunning Visuals', 'Impeccable Production', 'Strong Performances', 'Strong Performances', 'Immersive Sound Design']",['Muddled Themes']
34,10,1,"['epic', 'true to the book', 'effective in 2D', 'captivating story']",['irritations of little consequence'],"['Faithful adaptation', 'Faithful adaptation', 'Stunning Visuals', 'Engaging Plot']",['None']
35,8,1,"['Visuals', 'Faithful adaptation to book', 'Strong cast', 'Complex narrative', ""Villanueve's direction""]",['Important plot points lost'],"['Stunning Visuals', 'Faithful adaptation', 'Strong Performances', 'Engaging Plot', 'Thought-Provoking Themes']",['Weak Plot']
36,9,1,"['Pacing', 'Clear storytelling', 'Engrossing tension', 'Feudalism in space', ""Villeneuve's visual style""]",['Not recommended for non-sci-fi fans'],"['Thought-Provoking Themes', 'Thought-Provoking Themes', 'Thought-Provoking Themes', 'Thought-Provoking Themes', 'Stunning Visuals']",['Weak Plot']
37,10,1,"[""Hans Zimmer's melody"", 'Scale of production', 'Epic sci-fi movie']",['Partially loses due to incomplete story'],"['Immersive Sound Design', 'Impeccable Production', 'Engaging Plot']",['Weak Plot']
38,9,1,"['impressive', 'magical', 'fun']",['None'],"['Engaging Plot', 'Strong Performances', 'Stunning Visuals']",['Muddled Themes']
39,9,1,"['Beautiful cinematography', 'Respectful to the book', 'Excellent special effects', 'Perfect production design', 'Outstanding costumes', 'Exceptional performance by Timothée Chalamet']",['None'],"['Stunning Visuals', 'Faithful adaptation', 'Impeccable Production', 'Impeccable Production', 'Impeccable Production', 'Strong Performances']",['None']
40,10,1,"['Storytelling', 'Score and sound design', 'Action scenes', 'Performances']",['None'],"['Engaging Plot', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Strong Performances']",['None']
41,10,1,"['Masterpiece', 'Epic world-building', 'Stunning visuals', ""Hans Zimmer's incredible score"", 'Great performances by the cast']",['None'],"['Engaging Plot', 'Impeccable Production', 'Stunning Visuals', 'Immersive Sound Design', 'Strong Performances']",['None']
42,9,1,"['Spectacular visuals', 'Well-drawn characters', 'Allegorical story', ""Hans Zimmer's score"", 'Fantastic art direction', 'Beautiful cinematography', ""Villeneuve's vision as a director"", 'Performances, particularly Rebecca Ferguson', 'Palace intrigue', 'Politics, betrayal, and backstabbing', 'Building the world effectively']",['None'],"['Engaging Plot', 'Engaging Plot', 'Thought-Provoking Themes', 'Immersive Sound Design', 'Impeccable Production', 'Stunning Visuals', 'Thought-Provoking Themes', 'Strong Performances', 'Thought-Provoking Themes', 'Engaging Plot', 'Impeccable Production']",['None']
43,10,1,"['Scale', 'Visuals', 'Worth seeing on big screen']","['Missing backstory', 'Slow pace', 'Excessive soundtrack']","['Engaging Plot', 'Stunning Visuals', 'Immersive Sound Design']","['Muddled Themes', 'Muddled Themes', 'Poor Audio Quality']"
44,10,1,"['Grand epic', 'Amazing adaptation', 'True love letter', 'Must see']",['   None'],"['Engaging Plot', 'Faithful adaptation', 'Thought-Provoking Themes', 'Thought-Provoking Themes']",['None']
45,9,1,"['Well-done adaptation', 'Impressive to friends', 'Enjoyable experience', 'Fast-paced for its length', 'Could easily watch more']",['Ended too early'],"['Faithful adaptation', 'Strong Performances', 'None', 'Engaging Plot', 'None']",['None']
46,8,1,"['Visually stunning', 'Great sound design', 'Fantastic acting', 'Sets a great tone', 'Continuous tension']",['Lacks blockbuster action'],"['Stunning Visuals', 'Immersive Sound Design', 'Strong Performances', 'Thought-Provoking Themes', 'Engaging Plot']",['Weak Plot']
47,9,1,"['Worldbuilding', 'Character development', 'Amazing acting', 'Memorable scenes', 'Masterful cinematography']",['None'],"['Engaging Plot', 'Engaging Plot', 'Strong Performances', 'Stunning Visuals', 'Stunning Visuals']",['None']
48,9,1,['Visuals'],['Lacks emotion'],['Stunning Visuals'],['Subpar Acting']
49,8,1,"['epic', 'glorious', 'majestic sets', 'mythic storytelling', 'good performances', 'radiant Zendaya', 'thunderous score']",['dark action sequences'],"['Impeccable Production', 'Impeccable Production', 'Impeccable Production', 'Thought-Provoking Themes', 'Strong Performances', 'Strong Performances', 'Immersive Sound Design']",['Lackluster Cinematography']
50,9,1,"['Visual effects', 'Music score', 'Acting', 'Enjoyable in a theater', 'Worthwhile despite length']",['None'],"['Stunning Visuals', 'Immersive Sound Design', 'Strong Performances', 'Thought-Provoking Themes', 'Engaging Plot']",['None']
51,9,1,"['Excellent content', 'Cinematography', 'Great acting']",['None'],"['Engaging Plot', 'Stunning Visuals', 'Strong Performances']",['None']
52,10,1,"['Superb visuals', 'Great cast and acting', 'Clever story with intrigues', 'Retro high-tech machinery', 'Atmospheric settings']","['Drawn out in the end', 'Repetitive ""chosen one"" mantra', 'Flat and linear characters']","['Stunning Visuals', 'Strong Performances', 'Engaging Plot', 'Impeccable Production', 'Impeccable Production']","['Muddled Themes', 'Muddled Themes', 'Subpar Acting']"
53,9,1,"['Great storyline', 'Strong casting', 'Excellent directing', 'Best fighting scene ever', ""Jason Momoa's performance""]",['None'],"['Engaging Plot', 'Strong Performances', 'None', 'None', 'Strong Performances']",['None']
54,5,0,"['special effects', 'costumes', 'acting']","[""actors' diction"", 'confusing for non-book readers', 'parts of the book left out', ""film didn't run smoothly""]","['Impeccable Production', 'Impeccable Production', 'Strong Performances']","['Poor Audio Quality', 'Poor Adaptation', 'Weak Plot', 'Muddled Themes']"
55,10,1,"['Visuals', 'Music', 'Pacing', 'Acting', 'Story']",['None'],"['Stunning Visuals', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Strong Performances', 'Engaging Plot']",['Muddled Themes']
56,10,1,"['Remarkable feat', 'Beautiful work of art', 'Epic film with slow pacing', 'Remarkable adaptation of the novel', 'Immersive experience']",['None'],"['Engaging Plot', 'Impeccable Production', 'Engaging Plot', 'Faithful adaptation', 'Thought-Provoking Themes']",['None']
57,9,1,"['Masterpiece', 'Defined imagination', 'Great adaptation', 'Best movie seen']",['Repetitive dream sequences'],"['Thought-Provoking Themes', 'Thought-Provoking Themes', 'Faithful adaptation', 'Engaging Plot']",['Weak Plot']
58,8,1,"['well-paced', 'smooth', 'engaging', 'captivating', 'epic']",['None'],"['Engaging Plot', 'Strong Performances', 'Stunning Visuals', 'Impeccable Production', 'None']",['None']
59,8,1,"['Beautifully written', 'Perfect casting', ""Captures novel's spirit"", 'Cinematography is picturesque']","['Difficulty understanding some dialogue', 'Dim lighting in some parts']","['Engaging Plot', 'Strong Performances', 'Faithful adaptation', 'Stunning Visuals']","['Poor Audio Quality', 'Lackluster Cinematography']"
60,9,1,"['Great acting', 'Great world building', 'Great storytelling', 'Stunning visuals', 'Depth in storytelling']",['None'],"['Strong Performances', 'Impeccable Production', 'Engaging Plot', 'Stunning Visuals', 'Thought-Provoking Themes']",['None']
61,10,1,"['realistic, dark, beautiful story-world', 'emotionally intelligent', 'suspenseful', 'visually stunning', 'emotionally rich']",['None'],"['Engaging Plot', 'Strong Performances', 'Thought-Provoking Themes', 'Stunning Visuals', 'Immersive Sound Design']",['None']
62,9,1,"['visuals', 'music', 'actors', 'adaptation', 'world-building']",['incomplete story'],"['Stunning Visuals', 'Immersive Sound Design', 'Strong Performances', 'Faithful adaptation', 'Impeccable Production']",['Weak Plot']
63,5,0,"['Impressive visuals', 'Stacked cast']","['Boring story', 'Runtime dragged on']","['Stunning Visuals', 'Strong Performances']","['Weak Plot', 'Muddled Themes']"
64,10,1,"['Cast', 'Cinematography', 'Acting', 'Art-direction', 'CGI']",['Lack of humor'],"['Strong Performances', 'Stunning Visuals', 'Strong Performances', 'Impeccable Production', 'Impeccable Production']",['None']
65,10,1,"['Cinematography', 'Sound design/music', ""Villeneuve's direction"", 'High expectations exceeded', 'Potential for a sequel']","['Forced exposition ', 'Limited screen time for some characters']","['Stunning Visuals', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Engaging Plot', 'Faithful adaptation']","['Muddled Themes', 'Muddled Themes']"
66,9,1,"['Originality', 'Unique storytelling']",['Failed to captivate completely'],"['Engaging Plot', 'Thought-Provoking Themes']",['Weak Plot']
67,10,1,"[""Hans Zimmer's soundtrack"", 'Cinematography', 'Faithful adaptation of the book', ""Denis Villeneuve's direction"", 'Movie of the year']",['   None'],"['Immersive Sound Design', 'Stunning Visuals', 'Faithful adaptation', 'None', 'Thought-Provoking Themes']",['None']
68,10,1,"['Monumental', 'Stellar cast', 'Immersive soundtrack', 'Impressive visual effects', 'Instant classic']",['None'],"['Engaging Plot', 'Strong Performances', 'Immersive Sound Design', 'Impeccable Production', 'Thought-Provoking Themes']",['None']
69,9,1,"['Engaging storyline', 'Left the viewer wanting more']",['None'],"['Engaging Plot', 'Thought-Provoking Themes']",['None']
70,10,1,"['Impressive', 'Genius imagination', 'Masterpiece', 'Strong', 'Well done']",['None'],"['Engaging Plot', 'Thought-Provoking Themes', 'Engaging Plot', 'Engaging Plot', 'Thought-Provoking Themes']",['None']
71,10,1,"['Best adaptation', 'Great visual effects']",['Hard to follow without reading the book(s)'],"['Faithful adaptation', 'None']",['Weak Plot']
72,9,0,['   None'],['Rating should be R'],['None'],['None']
73,9,1,"['Amazing images', 'Follows the book perfectly', 'Evolves story and characters slowly', 'Recognition of details from the books', 'Impressive powerful scenes']","['Some may find it slow', 'Some story elements left out']","['Stunning Visuals', 'Faithful adaptation', 'Engaging Plot', 'Faithful adaptation', 'Thought-Provoking Themes']","['Muddled Themes', 'Poor Adaptation']"
74,9,1,"['Accurate adaptation', 'Visuals', 'Performances', 'Easy to follow dialogue', 'Sets up potential sequels']","['Skips important plot elements', 'Lack of explanation for key elements', 'Limited screen time for certain characters']","['Faithful adaptation', 'Stunning Visuals', 'Strong Performances', 'Engaging Plot', 'Thought-Provoking Themes']","['Weak Plot', 'Muddled Themes', 'Poor Audio Quality', 'None']"
75,10,1,"['Exciting', 'Great acting', 'Great directing', 'Cinematic', 'Special effects']","['Made for PG rating', 'March music is melancholic']","['Engaging Plot', 'Strong Performances', 'Stunning Visuals', 'Impeccable Production', 'Immersive Sound Design']","['Muddled Themes', 'Muddled Themes']"
76,8,0,['Stays faithful to source material'],"['Lack of emotional depth', 'Disappointing soundtrack']",['Faithful adaptation'],"['Subpar Acting', 'Poor Audio Quality']"
77,8,1,"['Epic', 'Action-driven story', 'Great score', 'Improved as it progressed', 'Intriguing story']",['Lack of character development'],"['Engaging Plot', 'Engaging Plot', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Engaging Plot']",['Weak Plot']
78,10,1,"['Epic', 'Spectacular', 'Visual innovation', 'Inspiring music', 'Future of cinema']",['None'],"['Thought-Provoking Themes', 'Thought-Provoking Themes', 'Immersive Sound Design', 'Faithful adaptation']",['None']
79,10,1,"['Visuals', 'Casting', 'Soundtrack', 'CGI', 'Immersive experience']",['None'],"['Stunning Visuals', 'Strong Performances', 'Immersive Sound Design', 'Impeccable Production', 'Thought-Provoking Themes']",['None']
80,6,0,['None'],"['Lack of depth in story', 'Lack of character background', 'Characters appear and disappear quickly']",['None'],"['Weak Plot', 'Weak Plot', 'Weak Plot']"
81,10,1,"['Visuals', 'Intensity', 'Epicness', 'Fantastic actors', ""Zimmer's music""]",['None'],"['Stunning Visuals', 'Thought-Provoking Themes', 'Thought-Provoking Themes', 'Strong Performances', 'Immersive Sound Design']",['None']
82,10,1,"['Visuals', 'Story adaptation', 'Acting performances', 'Entertainment value', 'Cinematography']",['Pacing issues in original film'],"['Stunning Visuals', 'Faithful adaptation', 'Strong Performances', 'Engaging Plot', 'Stunning Visuals']",['Muddled Themes']
83,10,1,"['masterpiece', 'incredible performances', 'attention to details', 'mature storytelling', 'epic world-building']",['None'],"['Engaging Plot', 'Strong Performances', 'Impeccable Production', 'Thought-Provoking Themes', 'Thought-Provoking Themes']",['None']
84,9,1,"['Great storyline', 'Superb special effects', ""Modern actors' performances"", 'Fresh and unique perspective', 'Improvement over original Dune']",['Subpar special effects in original Dune'],"['Engaging Plot', 'Stunning Visuals', 'Strong Performances', 'Thought-Provoking Themes', 'Faithful adaptation']",['Inadequate Set Design']
85,10,1,"['visuals', 'acting', 'score', 'story', 'action scenes', 'world-building', 'character development', 'performances by supporting cast', 'portrayal of Fremen', 'depiction of Arrakis', 'portrayal of worms']",['missed aspects from the novel'],"['Stunning Visuals', 'Strong Performances', 'Immersive Sound Design', 'Engaging Plot', 'Thought-Provoking Themes', 'Thought-Provoking Themes', 'Engaging Plot', 'Strong Performances', 'Thought-Provoking Themes', 'Impeccable Production', 'Impeccable Production']",['None']
86,10,1,"['Immersive', 'Top-notch in every aspect', 'Mythological aspects', 'Cinematography', 'Enriched by love of cinema']",['Trailer misrepresentation of movie'],"['Thought-Provoking Themes', 'Impeccable Production', 'Thought-Provoking Themes', 'Stunning Visuals', 'Thought-Provoking Themes']",['Weak Plot']
87,10,1,"['adaptation', 'characters', 'worlds', 'original score', 'cinematography', 'emotions', 'IMAX experience']",['None'],"['Engaging Plot', 'Strong Performances', 'Stunning Visuals', 'Impeccable Production', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Faithful adaptation']",['None']
88,10,1,"['Great cast', 'Amazing visual effects', 'Homage to the book', ""Timothée Chalamet's performance"", 'Beautifully placed music and camera']",['Plot similarities to previous adaptation'],"['Strong Performances', 'Stunning Visuals', 'Faithful adaptation', 'Strong Performances', 'Immersive Sound Design']",['Weak Plot']
89,9,1,"['Originality', 'Immersive world-building', 'Strong character development', 'Outstanding visual effects and cinematography', 'Excellent sound design and soundtrack']",['Cliffhanger ending (lack of resolution)'],"['Engaging Plot', 'Impeccable Production', 'Engaging Plot', 'Stunning Visuals', 'Immersive Sound Design']",['Muddled Themes']
90,8,1,"['Rich mythology', 'Superb acting', 'Brilliant direction', 'Amazing score', 'Unique looking production']","['Lack of proper ending', 'Pacing may deter some viewers']","['Engaging Plot', 'Strong Performances', 'Thought-Provoking Themes', 'Immersive Sound Design', 'Impeccable Production']","['Muddled Themes', 'Weak Plot']"
91,9,1,['Amazing storyline'],['None'],['Engaging Plot'],['None']
92,10,0,['None'],"['Timothée Chalamet not fitting', 'Missing essential parts from book adaptation', 'Director omitting key elements', 'Movie seeming empty and lacking depth']",['None'],"['Subpar Acting', 'Poor Adaptation', 'Poor Adaptation', 'Weak Plot']"
93,10,1,"['Engaging storyline', 'Stunning visuals', 'Strong performances']",['None'],"['Engaging Plot', 'Stunning Visuals', 'Strong Performances']",['None']
94,10,1,"['Visually stunning', 'Wonderful cast, especially Rebecca Ferguson', 'Treat for fans', 'Perfect pacing', 'Visionary']",['Some may find it slow'],"['Stunning Visuals', 'Strong Performances', 'Thought-Provoking Themes', 'Engaging Plot', 'Thought-Provoking Themes']",['None']
95,4,0,['None'],"['Lack of engaging writing', 'Dull and lifeless style', 'Boring actors and characters', 'Lack of color in images', 'Failed to grab attention']",['None'],"['Weak Plot', 'Lackluster Cinematography', 'Subpar Acting', 'Lackluster Cinematography', 'Weak Plot']"
96,9,1,"['Production design', 'Powerful score', 'Masterful visual effects', 'Phenomenal performances', 'Faithful adaptation of the story', '  ']","['Excessive ambience in the soundtrack', 'Ending could have been earlier']","['Impeccable Production', 'Immersive Sound Design', 'Stunning Visuals', 'Strong Performances', 'Faithful adaptation', 'None']","['Poor Audio Quality', 'Weak Plot']"
97,10,1,"['directing', 'set design', 'costumes', 'choreography', 'effects', 'cinematography', 'pacing', 'mass appeal', 'loyalty to source material']",['None'],"['Engaging Plot', 'Impeccable Production', 'Impeccable Production', 'None', 'None', 'Stunning Visuals', 'Thought-Provoking Themes', 'None', 'Faithful adaptation']",['None']
98,9,1,"['Continuous story flow', 'Impressive costume design', 'Faithful to the book']",['Less action than expected'],"['Engaging Plot', 'Impeccable Production', 'Faithful adaptation']",['Weak Plot']
99,9,1,"['Visuals', 'Score', 'Story pacing', 'Acting performances', 'Emotional depth', 'Mother-son relationship', ""Timothée Chalamet's performance"", ""Rebecca Ferguson's performance""]",['None'],"['Stunning Visuals', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Strong Performances', 'Strong Performances', 'Thought-Provoking Themes', 'Strong Performances', 'Strong Performances']",['None']
100,10,1,"['impressive', 'motion picture']",['None'],"['Stunning Visuals', 'Immersive Sound Design']",['None']
101,8,1,"['High budget', 'Ambitious vision', 'Originality in cinematographic aspects', 'Aesthetics', 'Narrative', 'Great director', 'High quality', 'Subtlety']",['None'],"['Stunning Visuals', 'Thought-Provoking Themes', 'Stunning Visuals', 'Impeccable Production', 'Engaging Plot', 'Thought-Provoking Themes', 'None', 'None']",['None']
102,9,1,"['Masterful direction', 'Excellent performances', 'Stunning cinematography', 'Phenomenal score']",['None'],"['Engaging Plot', 'Strong Performances', 'Stunning Visuals', 'Immersive Sound Design']",['None']
103,8,1,"['Well-written story', 'Well-directed', 'Incredible special effects', 'Great background music and sound effects', 'Awesome acting crew', 'Amazing performances by Oscar Isaac and Timothee Chalamet']",['None'],"['Engaging Plot', 'Engaging Plot', 'Stunning Visuals', 'Immersive Sound Design', 'Strong Performances', 'Strong Performances']",['None']
104,9,1,"['Beautiful cinematography', 'Fantastic sound design', 'Well-casted actors', 'Strong acting performances', 'Looking forward to the sequel']",['None'],"['Stunning Visuals', 'Immersive Sound Design', 'Strong Performances', 'Strong Performances', 'Engaging Plot']",['None']
105,9,1,["Worthy of Herbert's vision"],['Very dark and brooding'],"['Faithful adaptation', 'Thought-Provoking Themes']","['Muddled Themes', 'Muddled Themes']"
106,9,1,"['Fantastic realization of source material', 'Dense and rich content', 'Immersive visuals and sounds', 'Outstanding performances by main actors', ""Achieved Paul's inner struggle beautifully""]",["Not enough time for every character's development"],"['Faithful adaptation', 'Engaging Plot', 'Stunning Visuals', 'Strong Performances', 'Thought-Provoking Themes']",['Weak Plot']
107,9,1,"['Best adaptation since LOTR', 'Incredible job by Denis', 'Worth watching', 'Best book adaptation besides LOTR']",['None'],"['Faithful adaptation', 'Strong Performances', 'None', 'Faithful adaptation']",['None']
108,10,1,"['Acting', 'Dialog', 'Suspense', 'Adaptation', 'Flow']",['None'],"['None', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Faithful adaptation', 'Thought-Provoking Themes']","['Muddled Themes', 'Poor Audio Quality', 'Poor Adaptation']"
109,9,1,"['Story build-up', 'CGI', 'Music', 'Fighting scenes', 'Acting']",['   None'],"['Engaging Plot', 'Stunning Visuals', 'Immersive Sound Design', 'Strong Performances', 'Strong Performances']",['None']
110,9,1,"['Pacing', 'Lighting and effects', 'Acting', 'Cliffhanger', 'Experience']",['Not rated R'],"['Engaging Plot', 'Stunning Visuals', 'Strong Performances', 'Thought-Provoking Themes', 'None']",['None']
111,9,1,"['Masterpiece', 'Great cast', 'Visually stunning', 'Perfect score', 'Well-done CGI', 'Excited for Part 2', 'Recommend watching on IMAX']",['None'],"['Engaging Plot', 'Strong Performances', 'Stunning Visuals', 'Immersive Sound Design', 'Thought-Provoking Themes', 'Thought-Provoking Themes', 'Thought-Provoking Themes']",['None']
112,10,1,"['outstanding adaptation', 'recommend for long movies']",['None'],"['Faithful adaptation', 'None']",['None']
113,10,1,"['Translation of book well', 'Must see in cinema', 'Well done 3D IMAX', 'Masterpiece']",['None'],"['Faithful adaptation', 'Stunning Visuals', 'Stunning Visuals', 'Thought-Provoking Themes']",['None']
